YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,CANCELLED,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,7,3,DL,2222,TLH,ATL,530,68,223,638,0,0,37,82,CALM,0,0,32,69,NW,13,0
2015,1,7,3,DL,2511,BNA,ATL,530,72,214,742,0,0,37,82,CALM,0,0,32,66,NW,10,0
2015,1,7,3,EV,4208,SHV,IAH,530,60,192,630,0,0,36,86,N,6,0,46,93,CALM,0,0
2015,1,7,3,DL,844,SAV,ATL,530,68,214,638,0,0,41,67,WNW,6,0,32,69,NW,13,0
2015,1,7,3,EV,5534,BTR,ATL,530,86,448,756,0,0,41,76,NNE,3,0,32,66,NW,10,0
2015,1,7,3,F9,1279,PHL,MCO,530,160,861,810,0,1,22,68,W,13,0,55,59,N,10,0
2015,1,7,3,MQ,3379,LEX,ORD,530,98,323,608,0,0,19,59,W,13,0,0,60,NW,17,0
2015,1,7,3,NK,409,ORD,FLL,530,188,1182,938,0,0,1,57,NW,25,0,72,81,NNW,8,0
2015,1,7,3,OO,7423,BRD,MSP,530,49,114,619,0,0,-11,64,NW,13,0,-9,62,NW,15,0
2015,1,7,3,OO,5467,ONT,SFO,530,88,363,658,0,0,49,52,CALM,0,0,45,90,CALM,0,0
2015,1,7,3,OO,5435,PSC,SFO,530,126,620,736,0,0,28,100,CALM,0,0,49,86,CALM,0,0
2015,1,7,3,OO,6381,DSM,IAH,530,162,802,812,0,1,0,63,NNW,20,0,50,80,CALM,0,0
2015,1,7,3,OO,6391,EUG,DEN,530,156,996,906,1,1,40,93,CALM,0,0,14,92,SE,5,0
2015,1,7,3,AA,1433,SAT,DFW,534,66,247,640,0,0,38,76,,0,0,34,59,N,20,0
2015,1,7,3,OO,7368,ESC,DTW,534,81,306,655,0,0,-2,50,WNW,16,0,8,64,WNW,12,0
2015,1,7,3,UA,572,AUS,IAH,535,56,140,631,0,0,43,82,N,7,0,46,93,CALM,0,0
2015,1,7,3,US,1904,DCA,CLT,535,87,331,702,0,1,26,69,W,8,0,32,75,CALM,0,0
2015,1,7,3,WN,23,MDW,DCA,535,110,601,825,0,0,3,55,NW,22,0,27,49,NW,17,0
2015,1,7,3,B6,2001,BUF,JFK,535,88,301,703,0,0,14,59,W,18,0,22,63,W,12,0
2015,1,7,3,DL,2427,ATW,ATL,535,147,765,902,0,0,-2,50,NW,15,0,35,50,NW,15,0
2015,1,7,3,DL,1121,PBI,ATL,535,110,545,725,0,0,68,93,NW,9,0,32,66,NW,10,0
2015,1,7,3,DL,1269,ORF,ATL,535,119,516,734,0,0,34,73,CALM,0,0,32,66,NW,10,0
2015,1,7,3,OO,5235,SAT,IAH,535,60,191,635,0,0,47,71,WNW,3,0,46,93,CALM,0,0
2015,1,7,3,EV,4557,CRP,IAH,536,62,201,638,0,0,49,93,NNE,8,0,46,93,CALM,0,0
2015,1,7,3,UA,1448,PDX,DEN,540,155,991,915,0,0,35,100,CALM,0,0,14,92,SE,5,0
2015,1,7,3,UA,1596,SMF,DEN,540,140,909,900,0,0,36,93,SW,5,0,14,92,SE,5,0
2015,1,7,3,WN,3814,MKE,MCO,540,175,1066,935,0,1,0,54,NW,17,0,59,46,NNW,12,0
2015,1,7,3,WN,4542,PHX,DEN,540,115,602,735,0,0,50,61,CALM,0,0,14,92,E,7,0
2015,1,7,3,WN,1156,PIT,ATL,540,130,526,750,0,0,11,77,W,10,0,32,66,NW,10,0
