YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,1,4,US,602,ORD,PHX,500,228,1440,748,0,0,,,,,,,3.0,,,,,,,,,,
2015,1,1,4,AS,695,GEG,SEA,500,70,224,610,0,0,,,,,,,0.0,,,,,,,,,,
2015,1,1,4,HA,102,HNL,ITO,500,49,216,549,0,0,,,,,,,-6.0,,,,,,,,,,
2015,1,1,4,OO,5467,ONT,SFO,500,89,363,629,0,0,,,,,,,9.0,,,,,,,,,,
2015,1,1,4,HA,108,HNL,KOA,502,42,163,544,0,0,,,,,,,5.0,,,,,,,,,,
2015,1,1,4,AS,730,ANC,SEA,505,205,1448,930,0,0,,,,,,,-14.0,,,,,,,,,,
2015,1,1,4,HA,206,HNL,OGG,505,36,100,541,0,0,,,,,,,-11.0,,,,,,,,,,
2015,1,1,4,UA,1500,ORD,IAH,510,175,925,805,0,0,,,,,,,11.0,,,,,,,,,,
2015,1,1,4,AA,1323,MCO,MIA,510,63,192,613,0,0,,,,,,,-11.0,,,,,,,,,,
2015,1,1,4,NK,103,BOS,MYR,510,140,738,730,0,0,,,,,,,-10.0,,,,,,,,,,
2015,1,1,4,OO,7404,HIB,MSP,510,68,174,618,0,0,,,,,,,0.0,,,,,,,,,,
2015,1,1,4,OO,7419,ABR,MSP,510,69,257,619,0,0,,,,,,,-4.0,,,,,,,,,,
2015,1,1,4,OO,5254,MAF,IAH,510,87,429,637,0,1,B,,,,,,,,,,,,,,,,
2015,1,1,4,US,480,SEA,PHX,515,165,1107,900,0,0,,,,,,,-2.0,,,,,,,,,,
2015,1,1,4,AA,1057,DFW,MIA,515,161,1121,856,0,0,,0.0,0.0,0.0,0.0,102.0,102.0,,,,,,,,,,
2015,1,1,4,AA,2454,BOS,MIA,515,208,1258,843,0,0,,,,,,,2.0,,,,,,,,,,
2015,1,1,4,EV,4354,MKE,IAH,515,178,984,813,0,0,,,,,,,13.0,,,,,,,,,,
2015,1,1,4,US,425,PDX,PHX,520,150,1009,850,0,0,,0.0,0.0,60.0,0.0,0.0,60.0,,,,,,,,,,
